week_monday,metric,prev_value,value,diff,threshold,is_outlier,suggested_value
2025-08-18,approve,63.3,51.1,-12.199999999999996,9.099999999999993,True,63.3
2025-06-16,disapprove,35.5,19.0,-16.5,11.725000000000005,True,19.0
2025-06-23,disapprove,19.0,33.5,14.5,11.725000000000005,True,33.5
2025-08-18,disapprove,31.4,44.5,13.100000000000001,11.725000000000005,True,31.4
2025-09-01,disapprove,44.9,11.0,-33.9,11.725000000000005,True,44.5
2025-09-08,disapprove,11.0,45.5,34.5,11.725000000000005,True,44.9
2025-10-06,disapprove,47.4,34.0,-13.399999999999999,11.725000000000005,True,42.1
2025-11-17,disapprove,43.5,32.0,-11.5,11.725000000000005,True,44.9
2026-02-16,disapprove,39.1,26.0,-13.100000000000001,11.725000000000005,True,40.5
